gene_symbol,mean_effect,std_effect,median_effect,max_effect,n_cells_with_gene
PLXDC2,0.0009317839,0.0003872403,0.00086674094,0.0036568046,1368
ALK,0.0008198965,0.0003214159,0.00076031685,0.0021454692,229
AQP1,0.0007086284,0.00033767722,0.00063073635,0.0026673079,977
ROR2,0.00070545275,0.00032032,0.00063049793,0.0031132698,1263
TNFRSF1A,0.0006981114,0.0003091958,0.00064635277,0.0025915504,437
ROBO1,0.0006858072,0.00032355322,0.0006186366,0.003039956,855
PLXNA4,0.0006662111,0.00032409988,0.00058722496,0.0032312274,977
LPAR1,0.00066470023,0.0003252551,0.00059452653,0.0028633475,1060
RPSA,0.00064619875,0.00030294972,0.0005917549,0.0029771328,841
CDH2,0.0006430429,0.00032358256,0.0005711317,0.0026533604,547
TGFBR2,0.00064062746,0.00030751515,0.00056898594,0.0029369593,792
PDPN,0.0006330865,0.00031249353,0.0005675554,0.003029704,471
INSR,0.00062878674,0.00031251056,0.0005682707,0.003442943,701
DDR2,0.0006260749,0.00030747947,0.0005534291,0.0027449727,606
DPP4,0.00062581385,0.00035288793,0.0005597472,0.0029467344,517
CCBE1,0.0006250949,0.00029506665,0.00057175756,0.002921939,480
BEX3,0.00062274194,0.00032030838,0.00054124,0.0021744967,404
PGRMC2,0.00062154554,0.00036533686,0.00052446127,0.0026783943,209
RACK1,0.0006184969,0.00031955185,0.000546813,0.002975583,803
PDE1A,0.0006180642,0.00033652768,0.0005544424,0.0029700994,828
IL1RAPL1,0.00061409426,0.00030414588,0.00054323673,0.0026720762,307
GHR,0.0006119259,0.00032667432,0.0005505085,0.0030094385,836
ABCA1,0.0006091957,0.00032534954,0.0005289316,0.0029892325,316
KREMEN1,0.0006081545,0.00031332948,0.0005309582,0.0025456548,337
MAGED1,0.00060795824,0.00031114835,0.0005417466,0.0027301311,730
SEMA4D,0.0006017575,0.0003247951,0.00051528215,0.002706647,569
KDR,0.00060081587,0.00035101405,0.00056025386,0.0026870966,726
ADCY9,0.00059994275,0.0002758692,0.0005482435,0.0018627048,442
ERAP1,0.0005981202,0.0003223255,0.00052669644,0.0029688478,274
IL1R1,0.00059717795,0.0003271976,0.0005340874,0.002803862,732
VIPR2,0.0005963111,0.00036723606,0.0005172193,0.0029993057,558
PTPRM,0.00059191516,0.00029525757,0.00052779913,0.0019667149,405
PLD1,0.0005908836,0.00031969676,0.0005296469,0.003400445,511
ENG,0.00059084164,0.00034935554,0.0005136132,0.002806902,313
HLA-C,0.00058746705,0.00032399065,0.0005182624,0.002789855,504
CACNA1C,0.0005826601,0.0003277587,0.0005329251,0.0025579333,502
PROCR,0.00058207026,0.0003504081,0.0005193949,0.0033980012,577
GAS1,0.0005802772,0.0002667905,0.00053304434,0.0018872023,546
TNFRSF11B,0.00058006163,0.0002387542,0.0005441606,0.0015109777,210
PTPRF,0.0005798444,0.00033432827,0.00051540136,0.002481699,721
SLC16A1,0.0005775723,0.0003063578,0.0005347729,0.0024219751,537
KCNJ10,0.0005747668,0.00039023045,0.00050258636,0.003404975,146
DCBLD2,0.0005683835,0.00032505815,0.00049719214,0.0028089285,686
CAV1,0.0005638088,0.00032369918,0.0005016923,0.0026513338,503
MUSK,0.00056143565,0.000349391,0.0004981756,0.0033768415,284
LRP10,0.00056128734,0.00031362337,0.00049090385,0.002429843,217
GFRA1,0.0005612055,0.00034470065,0.0005018711,0.002460122,161
CD63,0.0005611053,0.0003584622,0.00049620867,0.0031725764,577
MPZL1,0.0005595713,0.00028808444,0.00051021576,0.0020419955,410
CD81,0.00055930426,0.00029953307,0.0005133152,0.00275743,679
MCFD2,0.00055925676,0.00028549554,0.00049078465,0.0019853115,285
PTPRS,0.0005541765,0.00032180152,0.00048020482,0.0035558343,568
PLXNB2,0.0005524474,0.00027860023,0.0004963875,0.0024756193,340
CD47,0.00055049313,0.00031831086,0.00046753883,0.002883792,466
TNFRSF8,0.00055028574,0.00038121728,0.00047254562,0.0031369925,453
CRLF3,0.00054929213,0.00030190934,0.0004876852,0.0028476715,361
FGFR1,0.00054818083,0.00027927733,0.00048482418,0.002099514,559
ATP5F1B,0.0005477889,0.00030837633,0.00049072504,0.0023862123,569
SLC16A7,0.00054766244,0.0003018533,0.00049978495,0.0022907257,419
EPHB6,0.0005465224,0.00034370396,0.00046771765,0.002771914,410
FGFR2,0.0005423659,0.00031959536,0.0004797578,0.001999259,321
CD44,0.00054160616,0.00033851448,0.0004695058,0.0033655167,334
ENO1,0.0005357694,0.00030643857,0.0004823804,0.0026773214,388
ITGA3,0.00052906695,0.00029836316,0.0004696846,0.0018523932,373
SLC40A1,0.000527309,0.0003042992,0.00048464537,0.0034057498,346
VSIR,0.0005238554,0.00028958643,0.00047826767,0.0023343563,442
PDE1C,0.0005235795,0.0002647269,0.00049224496,0.0017610192,248
LRP1,0.0005227049,0.00033730577,0.00046527386,0.0030969381,499
APLP2,0.0005215828,0.00026698926,0.00047889352,0.0026559234,600
PTK7,0.00051831204,0.00028318542,0.00047039986,0.0019260645,275
KCNQ1,0.0005180605,0.00028811189,0.00047314167,0.0027649403,238
MMP24,0.0005167658,0.0003742336,0.00044104457,0.003081441,240
SDC4,0.0005155631,0.0003159389,0.00043952465,0.0019338131,196
ITGB1,0.0005145985,0.00028997453,0.00045841932,0.0019707084,453
EPHA4,0.0005105345,0.00028386043,0.00046241283,0.0027190447,265
NCL,0.0005025194,0.00029473603,0.00044354796,0.0023286939,342
KLRD1,0.0005005538,0.0003092275,0.00044229627,0.0022338629,288
FLOT1,0.0005001525,0.0003690053,0.00042626262,0.0033630133,216
ESR1,0.0004990061,0.00035357077,0.0004502535,0.0033679605,151
GPNMB,0.0004977442,0.00034999038,0.0004079342,0.0024793148,206
CD36,0.00049636257,0.00037226285,0.0004222393,0.0032663345,249
CD82,0.0004939877,0.00025494184,0.00045454502,0.0018855333,130
DSC3,0.0004924193,0.00026906468,0.00045228004,0.0018464327,200
ADGRE5,0.00048905454,0.0003493982,0.0004221201,0.002079606,75
