gene,druggability_auto,literature_auto,pubmed_count,dgidb_interactions,dgidb_approved
ICAM1,0.573,1.0,3053.0,6.0,2.0
PVR,0.0,1.0,3360.0,0.0,0.0
IL18,0.666,1.0,1654.0,19.0,7.0
IL2,0.77,1.0,1800.0,64.0,33.0
IL4,0.559,1.0,1623.0,5.0,1.0
FAS,0.962,1.0,1975.0,58.0,18.0
MARCO,0.0,1.0,4133.0,0.0,0.0
EGFR,0.8,1.0,8804.0,192.0,60.0
NODAL,0.261,1.0,9116.0,1.0,0.0
CD14,0.62,1.0,1498.0,11.0,3.0
FGF2,0.72,0.959,1111.0,36.0,19.0
LPL,0.699,0.948,1021.0,28.0,18.0
TGFB1,0.763,0.927,876.0,59.0,33.0
ERBB2,0.8,0.925,866.0,153.0,64.0
NPY,0.62,0.919,828.0,11.0,4.0
NOTCH1,0.595,0.904,742.0,8.0,2.0
CD44,0.666,0.877,610.0,19.0,7.0
PGF,0.523,0.868,571.0,3.0,1.0
BMP2,0.543,0.867,566.0,4.0,1.0
BMP4,0.0,0.86,538.0,0.0,0.0
FAP,0.634,0.86,536.0,13.0,1.0
BMPR2,0.773,0.841,468.0,6.0,3.0
PF4,0.0,0.82,401.0,0.0,0.0
TRH,0.559,0.809,371.0,5.0,3.0
TGFBR1,0.384,0.779,297.0,7.0,0.0
HRAS,0.793,0.757,252.0,83.0,35.0
IGF2,0.661,0.754,248.0,18.0,10.0
IL15,0.64,0.748,236.0,14.0,5.0
FGF1,0.804,0.744,229.0,9.0,2.0
AMH,0.856,0.733,212.0,17.0,5.0
OSM,0.297,0.724,199.0,2.0,0.0
NOTCH3,0.559,0.701,167.0,5.0,1.0
MMP12,0.604,0.699,165.0,9.0,4.0
IL1RN,0.543,0.694,159.0,4.0,4.0
NAMPT,0.559,0.685,149.0,5.0,1.0
FGFR2,0.997,0.675,138.0,87.0,27.0
DKK1,0.604,0.673,136.0,9.0,5.0
ANGPT1,0.87,0.673,136.0,20.0,3.0
TNFRSF11B,0.584,0.661,125.0,7.0,5.0
BMP7,0.613,0.657,121.0,10.0,10.0
PLAUR,0.595,0.656,120.0,8.0,3.0
IL6ST,0.523,0.651,116.0,3.0,3.0
ITGB3,0.646,0.646,112.0,15.0,5.0
CNTF,0.461,0.639,106.0,1.0,1.0
FGF10,0.0,0.627,97.0,0.0,0.0
IL1R1,0.634,0.626,96.0,13.0,7.0
SDC1,0.497,0.623,94.0,2.0,1.0
BTC,0.795,0.618,91.0,8.0,3.0
INSR,0.979,0.617,90.0,71.0,42.0
IGF2R,0.497,0.615,89.0,2.0,1.0
BMPR1A,0.697,0.615,89.0,2.0,2.0
LRP6,0.0,0.614,88.0,0.0,0.0
AHSG,0.0,0.611,86.0,0.0,0.0
DYSF,0.0,0.603,81.0,0.0,0.0
TNFSF10,0.323,0.601,80.0,3.0,0.0
MERTK,0.359,0.599,79.0,5.0,0.0
IL16,0.0,0.599,79.0,0.0,0.0
ANXA1,0.938,0.596,77.0,44.0,23.0
CCN1,0.323,0.596,77.0,3.0,0.0
LAMA2,0.461,0.589,73.0,1.0,1.0
PENK,0.0,0.589,73.0,0.0,0.0
GDF2,0.72,0.587,72.0,36.0,6.0
RYK,0.0,0.587,72.0,0.0,0.0
CDH1,0.543,0.583,70.0,4.0,1.0
ITGB1,0.627,0.583,70.0,12.0,2.0
WNT3,0.0,0.581,69.0,0.0,0.0
OXT,0.497,0.579,68.0,2.0,2.0
GAS6,0.523,0.569,63.0,3.0,2.0
IL1R2,0.497,0.569,63.0,2.0,1.0
BMP6,0.0,0.56,59.0,0.0,0.0
TSHR,1.0,0.558,58.0,94.0,22.0
LRP5,0.1,0.558,58.0,0.0,0.0
TNFSF12,0.297,0.543,52.0,2.0,0.0
NTN1,0.0,0.54,51.0,0.0,0.0
CCR6,0.323,0.538,50.0,3.0,0.0
EDNRA,0.682,0.538,50.0,23.0,8.0
AGRP,0.0,0.535,49.0,0.0,0.0
OXTR,0.861,0.529,47.0,18.0,9.0
IL12B,0.64,0.526,46.0,14.0,7.0
NOTCH4,0.573,0.524,45.0,6.0,2.0
IL2RG,0.813,0.524,45.0,10.0,4.0
ACVR1,0.882,0.524,45.0,23.0,4.0
TNFRSF12A,0.461,0.521,44.0,1.0,0.0
NID1,0.0,0.521,44.0,0.0,0.0
NRP2,0.461,0.517,43.0,1.0,1.0
TGM2,0.727,0.514,42.0,39.0,22.0
IL23R,0.523,0.511,41.0,3.0,3.0
ARF1,0.523,0.508,40.0,3.0,3.0
VTN,0.0,0.504,39.0,0.0,0.0
ADORA2B,0.861,0.504,39.0,18.0,9.0
PSEN1,0.634,0.501,38.0,13.0,1.0
ROR2,0.0,0.494,36.0,0.0,0.0
COL4A3,0.497,0.494,36.0,2.0,2.0
EFNB2,0.757,0.486,34.0,55.0,5.0
LTBP1,0.0,0.486,34.0,0.0,0.0
PLAU,0.734,0.482,33.0,42.0,21.0
IL12A,0.613,0.478,32.0,10.0,3.0
SEMA3C,0.461,0.478,32.0,1.0,1.0
FGF5,0.0,0.478,32.0,0.0,0.0
FGF16,0.0,0.474,31.0,0.0,0.0
FGF7,0.297,0.465,29.0,2.0,0.0
ITGA5,0.595,0.46,28.0,8.0,1.0
MYOC,0.0,0.451,26.0,0.0,0.0
OSMR,0.261,0.44,24.0,1.0,0.0
EFNA1,0.62,0.435,23.0,11.0,2.0
ADAM15,0.0,0.429,22.0,0.0,0.0
DLL3,0.297,0.429,22.0,2.0,0.0
SLIT3,0.0,0.429,22.0,0.0,0.0
LRP8,0.0,0.423,21.0,0.0,0.0
ITGAV,0.634,0.423,21.0,13.0,3.0
EBI3,0.0,0.423,21.0,0.0,0.0
ACVR1B,0.0,0.423,21.0,0.0,0.0
TYRO3,0.661,0.423,21.0,18.0,1.0
IL23A,0.595,0.416,20.0,8.0,5.0
NPFF,0.0,0.416,20.0,0.0,0.0
TGFA,0.543,0.416,20.0,4.0,2.0
ROBO2,0.0,0.403,18.0,0.0,0.0
MADCAM1,0.323,0.403,18.0,3.0,0.0
UNC5B,0.1,0.403,18.0,0.0,0.0
BMPR1B,0.697,0.403,18.0,2.0,2.0
EFEMP1,0.0,0.403,18.0,0.0,0.0
GDF5,0.0,0.395,17.0,0.0,0.0
RSPO3,0.261,0.395,17.0,1.0,0.0
LGR6,0.595,0.387,16.0,8.0,0.0
SEMA3F,0.0,0.361,13.0,0.0,0.0
PLXNA2,0.1,0.361,13.0,0.0,0.0
EPHB3,0.762,0.361,13.0,58.0,12.0
DEFB1,0.0,0.351,12.0,0.0,0.0
IL1RL2,0.523,0.351,12.0,3.0,1.0
EPHB2,0.787,0.351,12.0,78.0,11.0
FZD1,0.543,0.351,12.0,4.0,1.0
EDN3,0.461,0.34,11.0,1.0,1.0
FGFRL1,0.261,0.34,11.0,1.0,0.0
ITGB8,0.261,0.34,11.0,1.0,0.0
SORBS1,0.1,0.34,11.0,0.0,0.0
FZD8,0.297,0.34,11.0,2.0,0.0
RSPO2,0.0,0.328,10.0,0.0,0.0
LAMB1,0.497,0.328,10.0,2.0,1.0
NECTIN2,0.0,0.328,10.0,0.0,0.0
IL13RA1,0.297,0.328,10.0,2.0,0.0
ITGA9,0.297,0.328,10.0,2.0,0.0
ACVR2A,0.723,0.315,9.0,3.0,2.0
TNFSF13,0.297,0.315,9.0,2.0,0.0
KCND1,0.573,0.315,9.0,6.0,4.0
ITGB5,0.343,0.315,9.0,4.0,0.0
PLXNB2,0.0,0.315,9.0,0.0,0.0
EPHA3,0.613,0.3,8.0,10.0,1.0
LAMC2,0.461,0.3,8.0,1.0,1.0
IL12RB1,0.497,0.3,8.0,2.0,1.0
FGF6,0.461,0.3,8.0,1.0,1.0
SEMA6A,0.461,0.3,8.0,1.0,1.0
RGMA,0.297,0.284,7.0,2.0,0.0
NEO1,0.0,0.284,7.0,0.0,0.0
NRTN,0.0,0.284,7.0,0.0,0.0
EPHA1,0.497,0.284,7.0,2.0,1.0
LRPAP1,0.0,0.284,7.0,0.0,0.0
TRHR,0.773,0.284,7.0,6.0,1.0
JMJD6,0.0,0.284,7.0,0.0,0.0
PLXNA4,0.1,0.266,6.0,0.0,0.0
RSPO1,0.0,0.266,6.0,0.0,0.0
GFRA2,0.543,0.266,6.0,4.0,1.0
SDC3,0.0,0.266,6.0,0.0,0.0
SEMA4C,0.1,0.245,5.0,0.0,0.0
AFDN,0.0,0.245,5.0,0.0,0.0
GRIN2D,0.895,0.245,5.0,27.0,9.0
SCGB3A1,0.461,0.245,5.0,1.0,1.0
PTPRF,0.461,0.245,5.0,1.0,1.0
OGFR,0.261,0.245,5.0,1.0,0.0
FZD3,0.461,0.245,5.0,1.0,1.0
NECTIN4,0.523,0.245,5.0,3.0,2.0
PTPRM,0.261,0.22,4.0,1.0,0.0
UNC5C,0.0,0.22,4.0,0.0,0.0
IL13RA2,0.543,0.22,4.0,4.0,1.0
EPHA7,0.678,0.22,4.0,22.0,2.0
MFNG,0.0,0.22,4.0,0.0,0.0
EFNA2,0.702,0.19,3.0,29.0,5.0
EPHB6,0.461,0.19,3.0,1.0,1.0
EDN2,0.0,0.19,3.0,0.0,0.0
IL1RAPL1,0.0,0.15,2.0,0.0,0.0
NTNG2,0.1,0.15,2.0,0.0,0.0
NECTIN3,0.0,0.15,2.0,0.0,0.0
RGMB,0.1,0.15,2.0,0.0,0.0
PTDSS1,0.0,0.15,2.0,0.0,0.0
ITGB3BP,0.0,0.095,1.0,0.0,0.0
NTN3,0.0,0.095,1.0,0.0,0.0
INHBB,0.0,0.095,1.0,0.0,0.0
LRRC4,0.0,0.0,0.0,0.0,0.0
NPFFR1,0.651,0.0,0.0,16.0,0.0
SEMA4F,0.1,0.0,0.0,0.0,0.0
GPHA2,0.0,0.0,0.0,0.0,0.0
