rank,receptor,ligand,r_logfc,l_logfc,l_padj,n_db,db_weight,starvation,n_sig_down_hc,n_hc_ligands,composite,pathway
1,Unc5b,Ntn1,59.5,-35.44,2.2899630889175643e-151,5,1.0,1.0,1,1,1.0,Other
2,Neo1,Rgmb,49.09,-66.8,0.0,4,0.8,1.0,4,4,0.8,Other
3,Neo1,Rgma,49.09,-33.87,1.176836588239294e-32,4,0.8,1.0,4,4,0.8,Other
4,Neo1,Ntn1,49.09,-35.44,2.2899630889175643e-151,4,0.8,1.0,4,4,0.8,Other
5,Ogfr,Penk,16.17,-129.5,0.0,4,0.8,1.0,1,1,0.8,Other
6,Nectin2,Afdn,11.86,-6.35,2.295930398484685e-110,4,0.8,1.0,1,1,0.508,Other
7,Itgb5,Ccn1,150.65,-156.37,1.3397951598724683e-235,4,0.8,0.6,3,5,0.48,Other
8,Itgb5,Ltbp1,150.65,-25.43,0.0434082080561031,4,0.8,0.6,3,5,0.48,Other
9,Adora2b,Ntn1,5.66,-35.44,2.2899630889175643e-151,4,0.8,1.0,1,1,0.4531,Other
10,Tyro3,Gas6,8.31,-14.0,9.195792804308949e-45,5,1.0,0.5,1,2,0.4157,Other
11,Itgb8,Vtn,12.0,-120.41,6.644433391825109e-25,4,0.8,0.5,2,4,0.4,Other
12,Acvr1,Inhbb,21.96,-15.34,1.109667392529749e-07,4,0.8,0.444,4,9,0.3556,BMP/Activin
13,Acvr1,Bmp6,21.96,-20.73,3.4077937903842886e-20,4,0.8,0.444,4,9,0.3556,BMP/Activin
14,Plxnb2,Sema4c,18.9,-15.07,3.8136898665436685e-05,5,1.0,0.333,1,3,0.3333,Other
15,Bmpr2,Bmp2,15.12,-12.8,1.2892853069774322e-31,4,0.8,0.4,4,10,0.32,BMP
16,Bmpr2,Bmp6,15.12,-20.73,3.4077937903842886e-20,4,0.8,0.4,4,10,0.32,BMP
17,Bmpr2,Bmp4,15.12,-73.53,0.0,4,0.8,0.4,4,10,0.32,BMP
18,Fgfrl1,Fgf2,43.27,-3.87,3.610811962636146e-46,4,0.8,1.0,1,1,0.31,FGF
19,Bmpr1a,Bmp4,9.56,-73.53,0.0,4,0.8,0.4,4,10,0.306,BMP
20,Bmpr1a,Bmp6,9.56,-20.73,3.4077937903842886e-20,4,0.8,0.4,4,10,0.306,BMP
21,Bmpr1a,Bmp2,9.56,-12.8,1.2892853069774322e-31,4,0.8,0.4,4,10,0.306,BMP
22,Plxna4,Sema6a,9.79,-7.57,0.0035852837913039,4,0.8,0.5,1,2,0.2965,Sema
23,Epha7,Efna1,31.96,-5.8,8.936455050643615e-10,5,1.0,0.5,3,6,0.29,Other
24,Itgb8,Tgfb1,12.0,-6.73,1.906931661343303e-127,4,0.8,0.5,2,4,0.2692,Other
25,Acvr1,Bmp2,21.96,-12.8,1.2892853069774322e-31,3,0.6,0.444,4,9,0.2667,BMP/Activin
26,Fas,Tnfsf13,26.55,-3.27,1.870515367649137e-07,4,0.8,1.0,1,1,0.2619,Other
27,Epha7,Afdn,31.96,-6.35,2.295930398484685e-110,4,0.8,0.5,3,6,0.254,Other
28,Ephb3,Afdn,11.25,-6.35,2.295930398484685e-110,4,0.8,0.5,2,4,0.254,Other
29,Itga5,Vtn,17.47,-120.41,6.644433391825109e-25,4,0.8,0.308,4,13,0.2462,Other
30,Itga5,Ccn1,17.47,-156.37,1.3397951598724683e-235,4,0.8,0.308,4,13,0.2462,Other
31,Itgav,Vtn,50.48,-120.41,6.644433391825109e-25,4,0.8,0.294,5,17,0.2353,Other
32,Itgav,Col4a3,50.48,-24.83,2.2243661695266457e-121,4,0.8,0.294,5,17,0.2353,Other
33,Itgav,Ccn1,50.48,-156.37,1.3397951598724683e-235,4,0.8,0.294,5,17,0.2353,Other
34,Lrp6,Rspo1,12.87,-24.78,1.0423220477571363e-55,4,0.8,0.25,2,8,0.2,Wnt
35,Sdc1,Lpl,53.42,-440.89,0.0,4,0.8,0.25,2,8,0.2,Other
36,Nrp2,Pgf,9.63,-111.07,0.0,5,1.0,0.2,2,10,0.1925,Sema/VEGF
37,Nrp2,Sema3c,9.63,-54.6,3.3543069247321523e-252,5,1.0,0.2,2,10,0.1925,Sema/VEGF
38,Il1rl2,Il18,3.2,-9.99,8.74212775120619e-14,3,0.6,1.0,1,1,0.1917,Other
39,Itgb3,Ccn1,4.57,-156.37,1.3397951598724683e-235,4,0.8,0.455,5,11,0.1663,Other
40,Itgb3,Vtn,4.57,-120.41,6.644433391825109e-25,4,0.8,0.455,5,11,0.1663,Other
41,Itgb3,Tgm2,4.57,-65.47,0.0,4,0.8,0.455,5,11,0.1663,Other
42,Tnfrsf11b,Vtn,6.09,-120.41,6.644433391825109e-25,4,0.8,0.333,2,6,0.1625,Other
43,Itgb1,Cd14,334.47,-10.23,9.33005481645319e-11,4,0.8,0.2,7,35,0.16,Other
44,Itgb1,Lama2,334.47,-119.32,0.0,4,0.8,0.2,7,35,0.16,Other
45,Itgb1,Lamb1,334.47,-75.75,2.2848321839459625e-12,4,0.8,0.2,7,35,0.16,Other
46,Itgb1,Lamc2,334.47,-11.44,2.9664651117450787e-16,4,0.8,0.2,7,35,0.16,Other
47,Itgb1,Tgm2,334.47,-65.47,0.0,4,0.8,0.2,7,35,0.16,Other
48,Itga5,Adam15,17.47,-6.47,3.0697509065815005e-157,4,0.8,0.308,4,13,0.1592,Other
49,Itgav,Tgfb1,50.48,-6.73,1.906931661343303e-127,4,0.8,0.294,5,17,0.1584,Other
50,Unc5c,Ntn1,1.56,-35.44,2.2899630889175643e-151,5,1.0,1.0,1,1,0.1561,Other
51,Egfr,Efemp1,9.12,-136.53,0.0,4,0.8,0.211,4,19,0.1536,EGF
52,Egfr,Anxa1,9.12,-68.39,3.6858929502308633e-44,4,0.8,0.211,4,19,0.1536,EGF
53,Itgav,Adam15,50.48,-6.47,3.0697509065815005e-157,4,0.8,0.294,5,17,0.1522,Other
54,Epha3,Efna1,5.34,-5.8,8.936455050643615e-10,5,1.0,0.429,3,7,0.1327,Other
55,Ephb2,Afdn,10.12,-6.35,2.295930398484685e-110,4,0.8,0.25,2,8,0.127,Other
56,Plaur,Vtn,3.18,-120.41,6.644433391825109e-25,4,0.8,0.5,2,4,0.127,Other
57,Ephb6,Afdn,6.09,-6.35,2.295930398484685e-110,4,0.8,0.4,2,5,0.1238,Other
58,Fgfr2,Fgf1,4.81,-7.3,0.0001591980573015,5,1.0,0.333,5,15,0.1171,FGF
59,Jmjd6,Ptdss1,3.11,-6.26,1.1457601972507822e-75,3,0.6,1.0,1,1,0.1168,Other
60,Egfr,Icam1,9.12,-27.13,7.270841286462939e-21,3,0.6,0.211,4,19,0.1152,EGF
61,Acvr1,Bmp7,21.96,-3.08,0.0094799096604423,4,0.8,0.444,4,9,0.1095,BMP/Activin
62,Itgb3,Adam15,4.57,-6.47,3.0697509065815005e-157,4,0.8,0.455,5,11,0.1076,Other
63,Itgb1,Adam15,334.47,-6.47,3.0697509065815005e-157,4,0.8,0.2,7,35,0.1035,Other
64,Grin2d,Il16,1.82,-6.91,3.2786146366201797e-11,4,0.8,1.0,2,2,0.1005,Other
65,Itgb5,Itgb3bp,150.65,-2.74,1.5168218834789676e-132,3,0.6,0.6,3,5,0.0986,Other
66,Bmpr2,Bmp7,15.12,-3.08,0.0094799096604423,4,0.8,0.4,4,10,0.0985,BMP
67,Lgr6,Rspo1,1.93,-24.78,1.0423220477571363e-55,5,1.0,0.5,2,4,0.0967,Other
68,Epha7,Efna2,31.96,-1.9,2.2192741468734434e-18,5,1.0,0.5,3,6,0.0949,Other
69,Fzd1,Myoc,9.44,-153.04,0.0,3,0.6,0.167,1,6,0.0944,Wnt
70,Bmpr1a,Bmp7,9.56,-3.08,0.0094799096604423,4,0.8,0.4,4,10,0.0942,BMP
71,Pvr,Vtn,1.16,-120.41,6.644433391825109e-25,4,0.8,1.0,1,1,0.0931,Other
72,Tgfbr1,Tgfb1,8.33,-6.73,1.906931661343303e-127,4,0.8,0.2,1,5,0.0897,TGF-β
73,Cd44,Fgf1,65.3,-7.3,0.0001591980573015,3,0.6,0.2,2,10,0.0876,Other
74,Bmpr1b,Bmp2,2.35,-12.8,1.2892853069774322e-31,4,0.8,0.444,4,9,0.0835,BMP
75,Bmpr1b,Bmp4,2.35,-73.53,0.0,4,0.8,0.444,4,9,0.0835,BMP
76,Bmpr1b,Bmp6,2.35,-20.73,3.4077937903842886e-20,4,0.8,0.444,4,9,0.0835,BMP
77,Fgfr2,Fgf10,4.81,-5.09,0.0017681320321255,5,1.0,0.333,5,15,0.0817,FGF
78,Fgfr2,Fgf7,4.81,-4.87,1.4766889235174525e-21,5,1.0,0.333,5,15,0.0781,FGF
79,Sdc1,Fgf2,53.42,-3.87,3.610811962636146e-46,4,0.8,0.25,2,8,0.0775,Other
80,Fzd3,Myoc,3.23,-153.04,0.0,3,0.6,0.333,1,3,0.0647,Wnt
81,Itga9,Adam15,12.0,-6.47,3.0697509065815005e-157,4,0.8,0.125,1,8,0.0647,Other
82,Fgfr2,Fgf2,4.81,-3.87,3.610811962636146e-46,5,1.0,0.333,5,15,0.0622,FGF
83,Cd44,Fgf2,65.3,-3.87,3.610811962636146e-46,4,0.8,0.2,2,10,0.062,Other
84,Plxna2,Sema6a,1.98,-7.57,0.0035852837913039,4,0.8,0.5,1,2,0.0601,Sema
85,Ephb3,Efnb2,11.25,-1.2,6.4667057359368e-07,5,1.0,0.5,2,4,0.0598,Other
86,Notch3,Psen1,5.47,-10.1,3.2887149946609237e-39,4,0.8,0.125,1,8,0.0547,Notch
87,Tnfrsf11b,Tnfsf13,6.09,-3.27,1.870515367649137e-07,4,0.8,0.333,2,6,0.0532,Other
88,Lrp8,Lrpap1,1.57,-8.48,1.770878083779837e-41,4,0.8,0.5,1,2,0.0531,Other
89,Epha1,Efna1,2.2,-5.8,8.936455050643615e-10,5,1.0,0.4,2,5,0.051,Other
90,Egfr,Tgfa,9.12,-2.65,0.000226413419789,5,1.0,0.211,4,19,0.051,EGF
91,Insr,Arf1,0.6,-25.04,0.0082049472283497,4,0.8,1.0,6,6,0.0477,Other
92,Insr,Ahsg,0.6,-14.43,2.740125086874161e-13,4,0.8,1.0,6,6,0.0477,Other
93,Acvr2a,Bmp6,2.08,-20.73,3.4077937903842886e-20,4,0.8,0.286,4,14,0.0475,Activin
94,Acvr2a,Inhbb,2.08,-15.34,1.109667392529749e-07,4,0.8,0.286,4,14,0.0475,Activin
95,Fgfr2,Fgf16,4.81,-4.56,0.0001095520986479,3,0.6,0.333,5,15,0.0439,FGF
96,Epha3,Efna2,5.34,-1.9,2.2192741468734434e-18,5,1.0,0.429,3,7,0.0435,Other
97,Mertk,Gas6,0.87,-14.0,9.195792804308949e-45,5,1.0,0.5,1,2,0.0434,Other
98,Insr,Nampt,0.6,-13.27,1.339926174696022e-27,3,0.6,1.0,6,6,0.0357,Other
99,Acvr2a,Bmp2,2.08,-12.8,1.2892853069774322e-31,3,0.6,0.286,4,14,0.0356,Activin
100,Itgb3,Itgb3bp,4.57,-2.74,1.5168218834789676e-132,3,0.6,0.455,5,11,0.0342,Other
101,Il2rg,Il15,0.68,-16.22,3.520104297136089e-14,4,0.8,0.6,3,5,0.0324,Other
102,Ephb2,Efnb2,10.12,-1.2,6.4667057359368e-07,5,1.0,0.25,2,8,0.0299,Other
103,Notch1,Psen1,4.4,-10.1,3.2887149946609237e-39,4,0.8,0.083,1,12,0.0293,Notch
104,Robo2,Slit3,1.37,-8.0,4.255597967059493e-06,4,0.8,0.333,1,3,0.0291,Other
105,Ephb6,Efnb2,6.09,-1.2,6.4667057359368e-07,5,1.0,0.4,2,5,0.0291,Other
106,Insr,Sorbs1,0.6,-7.27,7.263027724949326e-16,3,0.6,1.0,6,6,0.026,Other
107,Bmpr1b,Bmp7,2.35,-3.08,0.0094799096604423,4,0.8,0.444,4,9,0.0257,BMP
108,Il2rg,Icam1,0.68,-27.13,7.270841286462939e-21,3,0.6,0.6,3,5,0.0243,Other
109,Epha3,Efnb2,5.34,-1.2,6.4667057359368e-07,4,0.8,0.429,3,7,0.0219,Other
110,Notch4,Psen1,1.47,-10.1,3.2887149946609237e-39,4,0.8,0.167,1,6,0.0196,Notch
111,Acvr1b,Inhbb,1.05,-15.34,1.109667392529749e-07,4,0.8,0.2,1,5,0.0169,Activin
112,Acvr2a,Bmp7,2.08,-3.08,0.0094799096604423,4,0.8,0.286,4,14,0.0146,Activin
113,Igf2r,Igf2,65.7,-0.2,0.0176981039462366,5,1.0,0.667,2,3,0.0137,IGF
114,Il2rg,Il2,0.68,-3.44,0.028466548391807,4,0.8,0.6,3,5,0.0112,Other
115,Epha1,Efna2,2.2,-1.9,2.2192741468734434e-18,3,0.6,0.4,2,5,0.01,Other
116,Grin2d,Hras,1.82,-0.89,5.4342226013183566e-192,3,0.6,1.0,2,2,0.0097,Other
117,Neo1,Ntn3,49.09,-0.06,0.0096173053737571,4,0.8,1.0,4,4,0.0049,Other
118,Lrp6,Rspo3,12.87,-0.21,5.704826368325124e-07,4,0.8,0.25,2,8,0.0043,Wnt
119,Insr,Hras,0.6,-0.89,5.4342226013183566e-192,4,0.8,1.0,6,6,0.0043,Other
120,Igf2r,Plau,65.7,-0.07,0.0415923523155702,4,0.8,0.667,2,3,0.0037,IGF
121,Erbb2,Tgfa,1.35,-2.65,0.000226413419789,4,0.8,0.125,1,8,0.0036,EGF
122,Fzd8,Rspo3,17.09,-0.21,5.704826368325124e-07,4,0.8,0.2,1,5,0.0034,Wnt
123,Lgr6,Rspo3,1.93,-0.21,5.704826368325124e-07,5,1.0,0.5,2,4,0.0021,Other
124,Plaur,Plau,3.18,-0.07,0.0415923523155702,5,1.0,0.5,2,4,0.0011,Other
125,Insr,Igf2,0.6,-0.2,0.0176981039462366,4,0.8,1.0,6,6,0.001,Other
126,Itga5,Angpt1,17.47,-0.02,2.572906970629661e-76,4,0.8,0.308,4,13,0.0006,Other
127,Itgb1,Angpt1,334.47,-0.02,2.572906970629661e-76,3,0.6,0.2,7,35,0.0003,Other
